QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,DEALSIZE,TERRITORY,SALES
30,95.7,2,1,1,2,2003,1,95,1,1,2871
34,81.35,5,1,2,5,2003,1,95,1,2,2765.9
41,94.74,2,1,3,7,2003,1,95,2,2,3884.34
45,83.26,6,1,3,8,2003,1,95,2,1,3746.7
49,100,14,1,4,10,2003,1,95,2,1,5205.27
36,96.66,1,1,4,10,2003,1,95,2,1,3479.76
29,86.13,9,1,4,11,2003,1,95,1,2,2497.77
48,100,1,1,4,11,2003,1,95,2,2,5512.32
22,98.57,2,1,4,12,2003,1,95,1,1,2168.54
41,100,14,1,1,1,2004,1,95,2,2,4708.44
37,100,1,1,1,2,2004,1,95,2,3,3965.66
23,100,7,1,2,4,2004,1,95,1,1,2333.12
28,100,2,1,2,5,2004,1,95,2,1,3188.64
34,100,2,1,2,6,2004,1,95,2,1,3676.76
45,92.83,1,1,3,7,2004,1,95,2,2,4177.35
36,100,6,1,3,8,2004,1,95,2,1,4099.68
23,100,9,1,3,9,2004,1,95,1,2,2597.39
41,100,5,1,4,10,2004,1,95,2,2,4394.38
46,94.74,1,1,4,11,2004,1,95,2,1,4358.04
42,100,1,1,4,11,2004,1,95,2,1,4396.14
41,100,9,1,4,11,2004,1,95,3,2,7737.93
20,72.55,13,1,4,12,2004,1,95,1,3,1451
21,34.91,12,1,1,2,2005,1,95,1,2,733.11
42,76.36,4,1,1,3,2005,1,95,2,1,3207.12
24,100,7,1,2,4,2005,1,95,1,2,2434.56
66,100,2,3,2,5,2005,1,95,3,2,7516.08
26,100,11,1,1,1,2003,2,214,2,2,5404.62
29,100,1,1,1,3,2003,2,214,3,2,7209.11
38,100,11,1,2,5,2003,2,214,3,2,7329.06
37,100,11,1,3,7,2003,2,214,3,1,7374.1
45,100,8,1,3,9,2003,2,214,3,4,10993.5
21,100,1,1,4,10,2003,2,214,2,1,4860.24
34,100,4,1,4,11,2003,2,214,3,3,8014.82
23,100,8,1,4,11,2003,2,214,2,1,5372.57
42,100,11,1,4,11,2003,2,214,3,2,7290.36
47,100,6,1,4,12,2003,2,214,3,1,9064.89
35,100,3,1,1,1,2004,2,214,2,1,6075.3
29,100,2,1,1,3,2004,2,214,2,1,6463.23
34,100,9,1,2,5,2004,2,214,2,1,6120.34
32,100,6,1,2,6,2004,2,214,3,4,7680.64
21,100,9,1,3,7,2004,2,214,2,3,4905.39
34,100,2,1,3,8,2004,2,214,3,2,8014.82
37,100,11,1,3,9,2004,2,214,3,2,7136.19
47,100,6,1,4,10,2004,2,214,3,2,10172.7
48,100,3,1,4,10,2004,2,214,3,1,11623.7
40,100,1,1,4,11,2004,2,214,2,1,6000.4
26,100,3,1,4,11,2004,2,214,2,1,3003
30,100,1,1,4,11,2004,2,214,2,3,3944.7
32,100,10,1,4,12,2004,2,214,2,1,5691.84
41,100,2,1,1,1,2005,2,214,2,1,4514.92
36,100,3,1,1,2,2005,2,214,3,1,8254.8
24,100,4,1,1,3,2005,2,214,1,3,2416.56
23,100,9,1,2,5,2005,2,214,2,1,4140.23
50,100,6,2,2,5,2005,2,214,3,2,12001
39,99.91,5,1,1,2,2003,1,118,2,1,3896.49
29,96.34,3,1,2,4,2003,1,118,1,3,2793.86
27,100,5,1,3,7,2003,1,118,2,2,3307.77
37,100,9,1,3,8,2003,1,118,2,1,5192.95
37,100,17,1,4,10,2003,1,118,2,1,5016.83
27,100,4,1,4,10,2003,1,118,2,1,3660.93
42,100,12,1,4,11,2003,1,118,2,2,4695.6
38,96.34,4,1,4,11,2003,1,118,2,2,3660.92
24,100,5,1,4,12,2003,1,118,2,1,3025.92
23,100,2,1,1,1,2004,1,118,2,4,3009.09
47,100,4,1,1,2,2004,1,118,2,3,5422.39
22,100,1,1,2,4,2004,1,118,1,1,2852.08
44,100,5,1,2,5,2004,1,118,2,1,5756.52
40,100,5,1,2,6,2004,1,118,2,1,4472
22,100,4,1,3,7,2004,1,118,1,2,2904.44
47,100,9,1,3,8,2004,1,118,2,1,6484.59
39,96.34,1,1,3,9,2004,1,118,2,2,3757.26
34,100,2,1,4,10,2004,1,118,2,1,4043.96
45,100,4,1,4,11,2004,1,118,2,1,5566.5
20,100,2,1,4,11,2004,1,118,2,1,3176
40,68.92,4,1,4,11,2004,1,118,1,4,2756.8
26,51.15,8,1,4,12,2004,1,118,1,3,1329.9
39,100,5,1,1,2,2005,1,118,2,3,5288.01
50,44.51,5,1,1,3,2005,1,118,1,1,2225.5
45,100,1,1,2,4,2005,1,118,2,2,5833.8
